xref,A database cross reference or alternative identifier for a NamedThing or edge between two  NamedThings.  This property should point to a database record or webpage that supports the existence of the edge  or  gives more detail about the edge. This property can be used on a node or edge to provide multiple URIs or CURIE cross references.
support graphs,A list of knowledge graphs that support the existence of this node.
resource id,The CURIE for an Information Resource that served as a source of knowledge expressed in an Edge  or a source of data used to generate this knowledge.
resource role,The role played by the InformationResource in serving as a source for an Edge. Note that a given Edge should have one and only one 'primary' source  and may have any number of 'aggregator' or 'supporting data' sources.
retrieval source ids,A list of retrieval sources that served as a source of knowledge expressed in an Edge  or a source of data used to generate this knowledge.
full name,a long-form human readable name for a thing
upstream resource ids,An upstream InformationResource from which the resource being described directly retrieved a record of the knowledge expressed in the Edge  or data used to generate this knowledge. This is an array because there are cases where a merged Edge holds knowledge that was retrieved from multiple sources. e.g. an Edge provided by the ARAGORN ARA can expressing knowledge it retrieved from both the automat-mychem-info and molepro KPs  which both provided it with records of this single fact.
definition,a human-readable description of an entity
description,a human-readable description of an entity
systematic synonym,more commonly used for gene symbols in yeast
affiliation,a professional relationship between one provider (often a person) within another provider (often an organization). Target provider identity should be specified by a CURIE. Providers may have multiple affiliations.
address,"the particulars of the place where someone or an organization is situated.  For now  this slot is a simple text ""blob"" containing all relevant details of the given location for fitness of purpose. For the moment  this ""address"" can include other contact details such as email and phone number(?)."
latitude,latitude
longitude,longitude
duration,a point in time
timepoint,a point in time
publication date,date on which an entity was created. This can be applied to nodes or edges
creation date,date on which an entity was created. This can be applied to nodes or edges
update date,date on which an entity was updated. This can be applied to nodes or edges
aggregate statistic, 
has count,number of things with a particular property
has total,total number of things in a particular reference set
has quotient, 
has percentage,equivalent to has quotient multiplied by 100
has taxonomic rank, 
has dataset, 
source web page, 
source logo, 
retrieved on, 
version of, 
version, 
license, 
rights, 
format, 
created with, 
download url, 
dataset download url, 
distribution download url, 
ingest date, 
has distribution, 
published in,CURIE identifier of a broader publication context within which the publication may be placed  e.g. a specified book or journal.
iso abbreviation,Standard abbreviation for periodicals in the International Organization for Standardization (ISO) 4 system See https://www.issn.org/services/online-services/access-to-the-ltwa/. If the 'published in' property is set  then the iso abbreviation pertains to the broader publication context (the journal) within which the given publication node is embedded  not the publication itself.
authors,"connects an publication to the list of authors who contributed to the publication. This property should be a comma-delimited list of author names. It is recommended that an author's name be formatted as ""surname  firstname initial."".   Note that this property is a node annotation expressing the citation list of authorship which might typically otherwise be more completely documented in biolink:PublicationToProviderAssociation defined edges which point to full details about an author and possibly  some qualifiers which clarify the specific status of a given author in the publication."
volume,volume of a book or music release in a collection/series or a published collection of journal issues in a serial publication
chapter,chapter of a book
issue,issue of a newspaper  a scientific journal or magazine for reference purpose
pages,page number of source referenced for statement or publication
abstract,executive  summary of a publication
summary,executive  summary of a publication
keywords,keywords tagging a publication
mesh terms,mesh terms tagging a publication
has biological sequence,connects a genomic feature to its sequence
has gene or gene product,connects an entity with one or more gene or gene products
has gene,connects an entity associated with one or more genes
has zygosity, 
has chemical formula,description of chemical compound based on element symbols
is metabolite,indicates whether a molecular entity is a metabolite
has constituent,one or more molecular entities within a chemical mixture
has drug,connects an entity to one or more drugs
has device,connects an entity to one or more (medical) devices
has procedure,connects an entity to one or more (medical) procedures
has receptor,the organism or organism part being exposed
has stimulus,the process or entity that the receptor is being exposed to
has stressor,the process or entity that the receptor is being exposed to
has route,the process that results in the stressor coming into direct contact with the receptor
population context qualifier,a biological population (general  study  cohort  etc.) with a specific set of characteristics to constrain an association.
temporal context qualifier,a constraint of time placed upon the truth value of an association. for time intervales  use temporal interval qualifier.
temporal interval qualifier,a constraint of a time interval placed upon the truth value of an association.
is supplement,
trade name,
available from,
is toxic,
has chemical role,A role is particular behaviour which a chemical entity may exhibit.
max tolerated dose,The highest dose of a drug or treatment that does not cause unacceptable side effects. The maximum tolerated dose is determined in clinical trials by testing increasing doses on different groups of people until the highest dose with acceptable side effects is found. Also called MTD.
animal model available from,
FDA adverse event level,
highest FDA approval status,Should be the highest level of FDA approval this chemical entity or device has  regardless of which disease  condition or phenotype it is currently being reviewed to treat.  For specific levels of FDA approval for a specific condition  disease  phenotype  etc.  see the association slot  'FDA approval status.'
max phase,An agglomeration of drug regulatory status worldwide. Not specific to FDA.
drug regulatory status world wide,An agglomeration of drug regulatory status worldwide. Not specific to FDA.
routes of delivery,the method or process of administering a pharmaceutical compound to achieve a therapeutic effect in humans or animals.
form or variant qualifier,A qualifier that composes with a core subject/object concept to define a specific type  variant  alternative version of this concept. The composed concept remains a subtype or instance of the core concept. For example  the qualifier ‘mutation’ combines with the core concept ‘Gene X’ to express the compose concept ‘a mutation of Gene X’.
aspect qualifier,Composes with the core concept to describe new concepts of a different ontological type. e.g. a process in which the core concept participates  a function/activity/role held by the core concept  or a characteristic/quality that inheres in the core concept.  The purpose of the aspect slot is to indicate what aspect is being affected in an  'affects' association.
derivative qualifier,A qualifier that composes with a core subject/object  concept to describe something that is derived from the core concept.  For example  the qualifier ‘metabolite’ combines with a ‘Chemical X’ core concept to express the composed concept ‘a metabolite of Chemical X’.
part qualifier,defines a specific part/component of the core concept (used in cases there this specific part has no IRI we can use to directly represent it  e.g. 'ESR1 transcript' q: polyA tail).
context qualifier,Restricts the setting/context/location where the core concept (or qualified core concept) resides or occurs.
direction qualifier,Composes with the core concept (+ aspect if provided) to describe a change in its direction or degree.
mapped predicate,The predicate that is being replaced by the fully qualified representation of predicate + subject and object  qualifiers.  Only to be used in test data and mapping data to help with the transition to the fully qualified predicate model. Not to be used in knowledge graphs.
predicate mappings,A collection of relationships that are not used in biolink  but have biolink patterns that can  be used to replace them.  This is a temporary slot to help with the transition to the fully qualified predicate model in Biolink3.
exact matches,A list of terms from different schemas or terminology systems that have an identical meaning. Such terms often describe the same concept from different ontological perspectives.
narrow matches,A list of terms from different schemas or terminology systems that have a narrower meaning. Such terms often describe a more specific concept from different ontological perspectives.
broad matches,A list of terms from different schemas or terminology systems that have a broader meaning. Such terms often describe a more general concept from different ontological perspectives.
subject aspect qualifier, 
subject form or variant qualifier, 
subject part qualifier, 
subject derivative qualifier, 
subject context qualifier, 
subject direction qualifier, 
object aspect qualifier, 
object form or variant qualifier, 
object part qualifier, 
object derivative qualifier, 
object context qualifier, 
object direction qualifier, 
qualified predicate,Predicate to be used in an association when subject and object qualifiers are present and the full reading of the statement requires a qualification to the predicate in use in order to refine or  increase the specificity of the full statement reading.  This qualifier holds a relationship to be used instead of that  expressed by the primary predicate  in a ‘full statement’ reading of the association  where qualifier-based  semantics are included.  This is necessary only in cases where the primary predicate does not work in a  full statement reading.
qualifier,grouping slot for all qualifiers on an edge.  useful for testing compliance with association classes
statement qualifier,
causal mechanism qualifier,A statement qualifier representing a type of molecular control mechanism through which an effect of a chemical on a gene or gene product is mediated (e.g. 'agonism'  'inhibition'  'allosteric modulation'  'channel blocker')
anatomical context qualifier,A statement qualifier representing an anatomical location where an relationship expressed in an association took place (can be a tissue  cell type  or sub-cellular location).
species context qualifier,A statement qualifier representing a taxonomic category of species in which a relationship expressed in an association took place.
qualifiers,connects an association to qualifiers that modify or qualify the meaning of that association
frequency qualifier,a qualifier used in a phenotypic association to state how frequent the phenotype is observed in the subject
severity qualifier,a qualifier used in a phenotypic association to state how severe the phenotype is in the subject
sex qualifier,a qualifier used in a phenotypic association to state whether the association is specific to a particular sex.
onset qualifier,a qualifier used in a phenotypic association to state when the phenotype appears is in the subject
clinical modifier qualifier,the method or process of administering a pharmaceutical compound to achieve a therapeutic effect in humans or animals.
sequence variant qualifier,a qualifier used in an association with the variant
quantifier qualifier,A measurable quantity for the object of the association
catalyst qualifier,a qualifier that connects an association between two causally connected entities (for example  two chemical entities  or a chemical entity in that changes location) and the gene product  gene  or complex that enables or catalyzes the change.
stage qualifier,stage during which gene or protein expression of takes place.
related to,A relationship that is asserted between two named things
related to at concept level,Represents a relationship held between terminology components that describe the conceptual model of a domain.
related to at instance level,Represents a relationship held between two instances of a data classes.  Much like an assertion component  in an ABox  these represent facts associated with the conceptual model.
associated with,Expresses a relationship between two named things where the relationship is typically generated statistically (though not in all cases)  and is weaker than its child  'correlated with'  but stronger than its parent  'related to'. This relationship holds between two concepts represented by variables for which a statistical  dependence is demonstrated.  E.g. the statement “Atrial Fibrillation (Afib) is associated with Myocardial  Infraction (MI)” asserts that having Afib is not statistically independent from whether a patient  will also have MI. Note that in Translator associations  the subject and object concepts may map exactly to  the statistical variables  or represent related entities for which the variables serve as proxies in an  Association (e.g. diseases  chemical entities or processes).
superclass of,holds between two classes where the domain class is a super class of the range class
subclass of,holds between two classes where the domain class is a specialization of the range class
same as,holds between two entities that are considered equivalent to each other
close match,a list of terms from different schemas or terminology systems that have a semantically similar but not strictly equivalent  broader  or narrower meaning. Such terms often describe the same general concept from different ontological perspectives (e.g. drug as a type of chemical entity versus drug as a type of role borne by a chemical entity).
exact match,holds between two entities that have strictly equivalent meanings  with a high degree of confidence
broad match,a list of terms from different schemas or terminology systems that have a broader  more general meaning. Broader terms are typically shown as parents in a hierarchy or tree.
narrow match,a list of terms from different schemas or terminology systems that have a narrower  more specific meaning. Narrower terms are typically shown as children in a hierarchy or tree.
member of,Defines a mereological relation between a item and a collection.
has member,Defines a mereological relation between a collection and an item.
opposite of,x is the opposite of y if there exists some distance metric M  and there exists no z such as M(x z) <= M(x y) or M(y z) <= M(y x). (This description is from RO. Needs to be rephrased).
associated with likelihood of,A a relationship that holds between two concepts represented by variables for which a statistical  dependence is demonstrated  wherein the state or value of one variable predicts the future state  or value of the other.  E.g. the statement “An Atrial Fibrillation (Afib) diagnosis is associated  with likelihood of a Myocardial Infraction (MI) diagnosis” asserts that the state of having Afib  is associated with an increased or decreased likelihood that a patient will later exhibit MI.
likelihood associated with,
associated with increased likelihood of,Expresses a relationship between two named things where the relationship is typically generated statistically and the state or fact of something is more probable.
increased likelihood associated with,
associated with decreased likelihood of,Expresses a relationship between two named things where the relationship is typically generated statistically and the state or fact of something is less probable.
decreased likelihood associated with,
target for,A gene is a target of a disease when its products are druggable and when a drug interaction with the gene product could have a therapeutic effect
has target, 
active in, 
has active component, 
acts upstream of, 
has upstream actor, 
acts upstream of positive effect, 
has positive upstream actor, 
acts upstream of negative effect, 
has negative upstream actor, 
acts upstream of or within, 
has upstream or within actor, 
acts upstream of or within positive effect, 
has positive upstream or within actor, 
acts upstream of or within negative effect, 
has negative upstream or within actor, 
mentions,refers to is a relation between one information content entity and the named thing that it makes reference to.
mentioned by,refers to is a relation between one named thing and the information content entity that it makes reference to.
contributor, 
has contributor, 
provider,person  group  organization or project that provides a piece of information (e.g. a knowledge association).
has provider, 
publisher,"organization or person responsible for publishing books  periodicals  podcasts  games or software. Note that in the case of publications which have a containing ""published in"" node property  the publisher association may not be attached directly to the embedded child publication  but only made in between the parent's publication node and the publisher agent of the encompassing publication (e.g. only from the Journal referenced by the 'published_in' property of an journal article Publication node)."
has publisher, 
editor,"editor of a compiled work such as a book or a periodical (newspaper or an academic journal). Note that in the case of publications which have a containing ""published in"" node property  the editor association may not be attached directly to the embedded child publication  but only made in between the parent's publication node and the editorial agent of the encompassing publication (e.g. only from the Book referenced by the 'published_in' property of a book chapter Publication node)."
has editor, 
author,an instance of one (co-)creator primarily responsible for a written work
has author, 
was assayed against,The effect of a thing on a target was interrogated in some assay. A relationship between some perturbing agent (usually a chemical compound) and some target entity  where the affect of the perturbing agent on the target entity was interrogated in a particular assay. The target might be a particular protein  tissue  phenotype  whole organism  cell line  or other type of biological entity.
assesses,The effect of a thing on a target was interrogated in some assay. A relationship between some perturbing agent (usually a chemical compound) and some target entity  where the affect of the perturbing agent on the target entity was interrogated in a particular assay. The target might be a particular protein  tissue  phenotype  whole organism  cell line  or other type of biological entity.
is assessed by, 
interacts with,holds between any two entities that directly or indirectly interact with each other
physically interacts with,holds between two entities that make physical contact as part of some interaction.  does not imply a causal relationship.
directly physically interacts with,A causal mechanism mediated by a direct contact between the effector and target entities (this contact may  be weak or strong  transient or stable).
binds,A causal mechanism mediated by the direct contact between effector and target chemical or biomolecular entity   which form a stable physical interaction.
indirectly physically interacts with, 
genetically interacts with,holds between two genes whose phenotypic effects are dependent on each other in some way - such that their combined phenotypic effects are the result of some interaction between the activity of their gene products. Examples include epistasis and synthetic lethality.
gene fusion with,holds between two independent genes that have fused through  translocation  interstitial deletion  or chromosomal inversion to  form a new  hybrid gene. Fusion genes are often implicated in various neoplasms and cancers.
genetic neighborhood of,holds between two genes located nearby one another on a chromosome. 
affects,describes an entity that has a direct affect on the state or quality of another existing entity. Use of the 'affects' predicate implies that the affected entity already exists  unlike predicates such as 'affects risk for' and 'prevents  where the outcome is something that may or may not come to be.
affected by,describes an entity of which the state or quality is affected by another existing entity.
associated with sensitivity to,A relation that holds between a named thing and a chemical that specifies that the change in the named thing is found to be associated with the degree of sensitivity to treatment by the chemical.
sensitivity associated with, 
associated with resistance to,A relation that holds between a named thing and a chemical that specifies that the change in the named thing is found to be associated with the degree of resistance to treatment by the chemical.
resistance associated with, 
diagnoses,a relationship that identifies the nature of (an illness or other problem) by examination  of the symptoms.
is diagnosed by, 
increases amount or activity of,A grouping mixin to help with searching for all the predicates that increase the amount or activity of the object.
amount or activity increased by, 
decreases amount or activity of,A grouping mixin to help with searching for all the predicates that decrease the amount or activity of the object.
amount or activity decreased by, 
chemical role mixin,A role played by the chemical entity or part thereof within a chemical context.
biological role mixin,A role played by the chemical entity or part thereof within a biological context.
affects response to, 
response affected by,holds between two chemical entities where the susceptibility of a biological entity or system (e.g. an organism  cell  cellular component  macromolecular machine mixin  biological or pathological process) of one is affected by the action of the other.
increases response to,holds between two chemical entities where the action or effect of one increases the susceptibility of a biological entity or system (e.g. an organism  cell  cellular component  macromolecular machine mixin  biological or pathological process) to the other
response increased by, 
decreases response to,holds between two chemical entities where the action or effect of one decreases the susceptibility of a biological entity or system (e.g. an organism  cell  cellular component  macromolecular machine mixin  biological or pathological process) to the other
response decreased by, 
regulates,A more specific form of affects  that implies the effect results from a biologically evolved control mechanism. Gene-affects-gene relationships will (almost) always involve regulation.  Exogenous/environmental chemical-affects-gene relationships  are not cases of regulation in this definition. Instead these would be captured using the 'affects' predicate  or possibly one of the 'interacts with' predicates depending on the nature of the interaction.
regulated by, 
disease causes disruption of,describes a relationship where one entity degrades or interferes with the structure  function  or occurrence of another.
disrupts,describes a relationship where one entity degrades or interferes with the structure  function  or occurrence of another.
disrupted by,describes a relationship where the structure  function  or occurrence of one entity is degraded or interfered with by another.
gene product of,definition x has gene product of y if and only if y is a gene (SO:0000704) that participates in some gene expression process (GO:0010467) where the output of thatf process is either y or something that is ribosomally translated from x
has gene product,holds between a gene and a transcribed and/or translated product generated from it
transcribed to,inverse of transcribed from
transcribed from,x is transcribed from y if and only if x is synthesized from template y
translates to,x (amino acid chain/polypeptide) is the ribosomal translation of y (transcript) if and only if a ribosome reads y (transcript) through a series of triplet codon-amino acid adaptor activities (GO:0030533) and produces x (amino acid chain/polypeptide)
translation of,inverse of translates to
in homology relationship with,holds between two biological entities that have common evolutionary origin
homologous to,holds between two biological entities that have common evolutionary origin
paralogous to,a homology relationship that holds between entities (typically genes) that diverged after a duplication event.
orthologous to,a homology relationship between entities (typically genes) that diverged after a speciation event.
xenologous to,a homology relationship characterized by an interspecies (horizontal) transfer since the common ancestor.
coexists with,holds between two entities that are co-located in the same aggregate object  process  or spatio-temporal region
in pathway with,holds between two genes or gene products that are part of in the same biological pathway
in complex with,holds between two genes or gene products that are part of (or code for products that are part of) in the same macromolecular complex
in cell population with,holds between two genes or gene products that are expressed in the same cell type or population
colocalizes with,holds between two entities that are observed to be located in the same place.
genetic association, 
genetically associated with,
gene associated with condition,holds between a gene and a disease or phenotypic feature that the gene or its alleles/products may influence  contribute to  or correlate with
disease associated with gene,holds between a gene and a disease or phenotypic feature that may be influenced  contribute to  or be correlated with the gene or its alleles/products
condition associated with gene,holds between a gene and a disease or phenotypic feature that may be influenced  contribute to  or be correlated with the gene or its alleles/products
affects risk for,holds between two entities where exposure to one entity alters the chance of developing the other
risk affected by, 
predisposes,holds between two entities where exposure to one entity increases the chance of developing the other
has predisposing factor, 
contributes to,holds between two entities where the occurrence  existence  or activity of one contributes to the occurrence or generation of the other
contribution from, 
causes,holds between two entities where the occurrence  existence  or activity of one causes the occurrence or generation of the other
disease caused by disruption of,holds between two entities where the occurrence  existence  or activity of one is caused by the occurrence or generation of the other
disease has basis in dysfunction of,holds between two entities where the occurrence  existence  or activity of one is caused by the occurrence or generation of the other
realized in response to,holds between two entities where the occurrence  existence  or activity of one is caused by the occurrence or generation of the other
realized in response to stimulus,holds between two entities where the occurrence  existence  or activity of one is caused by the occurrence or generation of the other
caused by,holds between two entities where the occurrence  existence  or activity of one is caused by the occurrence or generation of the other
ameliorates,A relationship between an entity (e.g. a genotype  genetic variation  chemical  or environmental exposure  clinical intervention) and a condition (a phenotype or disease)  where the presence of the entity reduces or eliminates some or all aspects of the condition.
is ameliorated by, 
exacerbates,A relationship between an entity (e.g. a chemical  environmental exposure  or some form of genetic variation) and a condition (a phenotype or disease)  where the presence of the entity worsens some or all aspects of the condition.
is exacerbated by, 
is substance that treats,holds between a therapeutic procedure or chemical entity and a disease or phenotypic feature that it is used to treat
indicated for,holds between a therapeutic procedure or chemical entity and a disease or phenotypic feature that it is used to treat
treats,holds between a therapeutic procedure or chemical entity and a disease or phenotypic feature that it is used to treat
treated by,holds between a disease or phenotypic feature and a therapeutic process or chemical entity that is used to treat the condition
prevents,holds between an entity whose application or use reduces the likelihood of a potential outcome. Typically used to associate a chemical entity  exposure  activity  or medical intervention that can prevent the onset a disease or phenotypic feature.
prevented by,holds between a potential outcome of which the likelihood was reduced by the application or use of an entity.
correlated with,A relationship that holds between two concepts represented by variables for which a statistical dependence is  demonstrated using a correlation analysis method.
positively correlated with,A relationship that holds between two concepts represented by variables for which a statistical correlation  is demonstrated  wherein variable values move together in the same direction (i.e. increased in one or  presence of one correlates with an increase or presence of the other).
negatively correlated with,A relationship that holds between two concepts represented by variables for which a statistical correlation  is demonstrated  wherein variable values move in opposite directions (i.e. increased in one or presence of  one correlates with a decrease or absence of the other).
occurs together in literature with,holds between two entities where their co-occurrence is correlated by counts of publications in which both occur  using some threshold of occurrence as defined by the edge provider.
coexpressed with,holds between any two genes or gene products  in which both are generally expressed within a single defined experimental context.
has biomarker,holds between a disease or phenotypic feature and a measurable chemical entity that is used as an indicator of the presence or state of the disease or feature.  # metabolite
biomarker for,holds between a measurable chemical entity and a disease or phenotypic feature  where the entity is used as an indicator of the presence or state of the disease or feature.
expressed in,holds between a gene or gene product and an anatomical entity in which it is expressed
anatomy expresses gene,holds between an anatomical entity and gene or gene product that is expressed there
expresses,holds between an anatomical entity and gene or gene product that is expressed there
disease presents symptom,holds between a biological entity and a phenotype  where a phenotype is construed broadly as any kind of quality of an organism part  a collection of these qualities  or a change in quality or qualities (e.g. abnormally increased temperature). In SNOMEDCT  disorders with keyword 'characterized by' should translate into this predicate.
has phenotype,holds between a biological entity and a phenotype  where a phenotype is construed broadly as any kind of quality of an organism part  a collection of these qualities  or a change in quality or qualities (e.g. abnormally increased temperature). In SNOMEDCT  disorders with keyword 'characterized by' should translate into this predicate.
phenotype of, 
occurs in,holds between a process and a material entity or site within which the process occurs
contains process, 
located in,holds between a material entity and a material entity or site within which it is located (but of which it is not considered a part)
site of,holds between material entity or site and a material entity that is located within it (but not considered a part of it)
location of,holds between material entity or site and a material entity that is located within it (but not considered a part of it)
disease has location,A relationship between a disease and an anatomical entity where the disease has one or more features that are located in that entity.
location of disease, 
similar to,holds between an entity and some other entity with similar features.
chemically similar to,holds between one small molecule entity and another that it approximates for purposes of scientific study  in virtue of its exhibiting similar features of the studied entity.
has sequence location,holds between two nucleic acid entities when the subject can be localized in sequence coordinates on the object. For example  between an exon and a chromosome/contig.
sequence location of, 
model of,holds between a thing and some other thing it approximates for purposes of scientific study  in virtue of its exhibiting similar features of the studied entity.
models, 
overlaps,holds between entities that overlap in their extents (materials or processes)
has part,holds between wholes and their parts (material entities or processes)
has plasma membrane part,Holds between a cell c and a protein complex or protein p if and only if that cell has as part a plasma_membrane[GO:0005886]  and that plasma membrane has p as part.
composed primarily of,x composed_primarily_of_y if:more than half of the mass of x is made from parts of y.
primarily composed of, 
plasma membrane part of, 
part of,holds between parts and wholes (material entities or processes)
has input,holds between a process and a continuant  where the continuant is an input into the process
is input of, 
has output,holds between a process and a continuant  where the continuant is an output of the process
is output of, 
has participant,holds between a process and a continuant  where the continuant is somehow involved in the process
catalyzes, 
has catalyst, 
has substrate, 
is substrate of, 
participates in,holds between a continuant and a process  where the continuant is somehow involved in the process
involved in,holds between a continuant and a process or function  where the continuant actively contributes to part or all of the process or function it realizes
actively involved in,holds between a continuant and a process or function  where the continuant actively contributes to part or all of the process or function it realizes
actively involves, 
capable of,holds between a physical entity and process or function  where the continuant alone has the ability to carry out the process or function.
can be carried out by, 
enables,holds between a physical entity and a process  where the physical entity executes the process
enabled by,holds between a process and a physical entity  where the physical entity executes the process
is normal cell origin of disease,holds between two distinct material entities  the old entity and the new entity  in which the new entity begins to exist when the old entity ceases to exist  and the new entity inherits the significant portion of the matter of the old entity
may be normal cell origin of disease,holds between two distinct material entities  the old entity and the new entity  in which the new entity begins to exist when the old entity ceases to exist  and the new entity inherits the significant portion of the matter of the old entity
derives into,holds between two distinct material entities  the old entity and the new entity  in which the new entity begins to exist when the old entity ceases to exist  and the new entity inherits the significant portion of the matter of the old entity
derives from,holds between two distinct material entities  the new entity and the old entity  in which the new entity begins to exist when the old entity ceases to exist  and the new entity inherits the significant portion of the matter of the old entity
is metabolite of,holds between two molecular entities in which the first one is derived from the second one as a product of metabolism
has metabolite,holds between two molecular entities in which the second one is derived from the first one as a product of metabolism
food component of,holds between a one or more chemical entities present in food  irrespective of nutritional value (i.e. could also be a contaminant or additive)
has food component,holds between food and one or more chemical entities composing it  irrespective of nutritional value (i.e. could also be a contaminant or additive)
nutrient of,holds between a one or more chemical entities present in food  irrespective of nutritional value (i.e. could also be a contaminant or additive)
has nutrient,one or more nutrients which are growth factors for a living organism
is active ingredient of,holds between a molecular entity and a drug  in which the former is a part of the latter  and is a biologically active component
has active ingredient,holds between a drug and a molecular entity in which the latter is a part of the former  and is a biologically active component
is excipient of,holds between a molecular entity and a drug in which the former is a part of the latter  and is a biologically inactive component
has excipient,holds between a drug and a molecular entities in which the latter is a part of the former  and is a biologically inactive component
manifestation of,that part of a phenomenon which is directly observable or visibly expressed  or which gives evidence to the underlying process; used in SemMedDB for linking things like dysfunctions and processes to some disease or syndrome
has manifestation, 
mode of inheritance of, 
has mode of inheritance,Relates a disease or phenotypic feature to its observed genetic segregation and assumed associated underlying DNA manifestation (i.e. autosomal  sex or mitochondrial chromosome).
produces,holds between a material entity and a product that is generated through the intentional actions or functioning of the material entity
produced by, 
consumes, 
consumed by, 
temporally related to,holds between two entities with a temporal relationship
precedes,holds between two processes  where one completes before the other begins
preceded by,holds between two processes  where the other is completed before the one begins
has variant part,holds between a nucleic acid entity and a nucleic acid entity that is a sub-component of it
variant part of, 
related condition, 
gene product sequence variation encoded by gene mutant,holds between a sequence variant and a nucleic acid entity
allelic variant of,holds between a sequence variant and a nucleic acid entity
